id,1,2,3
iga-1025,n,vu,ct
iga-182,sy,vu,ct
iga-168,sy,sn,p
iga-25,n,vu,n
iga-388,sy,sn,p
iga-156,sy,sn,n
iga-406,sy,vu,p
iga-574,n,sn,p
iga-801,n,sn,n
iga-664,sy,vu,ct
iga-52,y,sn,p
iga-640,sy,sn,ct
iga-538,sy,sn,p
iga-995,sy,n,n
iga-1029,n,vu,ct
iga-872,n,vu,p
iga-360,sy,vu,ct
iga-85,sy,sn,n
iga-685,n,vu,ct
iga-513,n,vu,ct
iga-589,sy,sn,ct
iga-603,n,n,n
iga-499,n,n,p
iga-498,n,sn,p
iga-47,n,sn,ct
iga-838,n,sn,n
iga-690,n,sn,ct
iga-1037,sy,n,n
iga-116,n,sn,p
iga-708,sy,sn,n
iga-772,n,vu,ct
iga-669,n,sn,n
iga-752,n,sn,p
iga-446,sy,sn,n
iga-926,y,sn,n
iga-567,y,sn,ct
iga-908,n,vu,ct
iga-232,n,vu,p
iga-361,n,vu,n
iga-64,n,sn,ct
iga-987,sy,sn,ct
iga-500,n,cn,n
iga-555,sy,sn,n
iga-278,n,vu,n
iga-15,sy,vu,ct
iga-214,sy,sn,p
iga-580,sy,n,p
iga-594,n,sn,ct
iga-250,n,vu,p
iga-285,n,sn,n
iga-815,n,sn,ct
iga-207,n,sn,ct
iga-307,n,sn,p
iga-342,n,vu,p
iga-649,sy,sn,n
iga-111,n,vu,ct
iga-1,sy,sn,p
iga-429,n,sn,p
iga-948,n,sn,p
iga-281,sy,sn,p
iga-1065,sy,vu,p
iga-873,n,vu,p
iga-668,sy,sn,p
iga-561,n,sn,n
iga-813,n,vu,ct
iga-349,n,sn,p
iga-724,n,n,p
iga-783,n,sn,ct
iga-358,n,vu,n
iga-552,y,sn,n
iga-871,sy,sn,n
iga-362,n,vu,n
iga-1026,n,vu,p
iga-382,sy,sn,p
iga-820,n,vu,ct
iga-829,sy,sn,n
