id,1,2,3
kuleshov-622,y,n,n
kuleshov-123,y,vu,p
kuleshov-844,n,vu,ct
kuleshov-429,sy,sn,ct
kuleshov-411,y,n,n
kuleshov-24,sy,n,n
kuleshov-456,n,vu,ct
kuleshov-865,sy,vu,ct
kuleshov-82,sy,sn,ct
kuleshov-51,n,vu,ct
kuleshov-172,y,sn,p
kuleshov-245,sy,n,ct
kuleshov-553,n,n,n
kuleshov-703,sy,vu,ct
kuleshov-914,n,vu,ct
kuleshov-970,n,vu,ct
kuleshov-107,n,sn,n
kuleshov-63,sy,sn,ct
kuleshov-565,n,vu,ct
kuleshov-625,n,vu,ct
kuleshov-867,sy,sn,ct
kuleshov-809,n,sn,p
kuleshov-936,y,vu,n
kuleshov-354,sy,vu,p
kuleshov-219,n,sn,ct
kuleshov-46,sy,sn,ct
kuleshov-593,n,vu,n
kuleshov-278,n,vu,ct
kuleshov-150,n,vu,n
kuleshov-370,y,sn,n
kuleshov-722,n,sn,ct
kuleshov-797,sy,n,p
kuleshov-1024,n,vu,p
kuleshov-367,n,vu,ct
kuleshov-489,n,vu,ct
kuleshov-552,sy,n,n
kuleshov-579,n,vu,ct
kuleshov-324,y,sn,p
kuleshov-987,n,vu,ct
kuleshov-1005,sy,sn,n
kuleshov-840,n,vu,n
kuleshov-675,y,sn,ct
kuleshov-114,sy,vu,p
kuleshov-394,sy,vu,ct
kuleshov-350,y,sn,n
kuleshov-502,n,vu,ct
kuleshov-13,n,vu,ct
kuleshov-847,n,sn,n
kuleshov-1059,n,sn,ct
kuleshov-581,sy,sn,p
kuleshov-353,sy,sn,p
kuleshov-1009,sy,sn,n
kuleshov-950,n,vu,ct
kuleshov-304,y,vu,n
kuleshov-210,n,sn,ct
kuleshov-817,y,n,p
kuleshov-371,n,vu,p
kuleshov-794,sy,sn,ct
kuleshov-948,n,vu,ct
kuleshov-283,y,n,p
kuleshov-955,y,sn,ct
kuleshov-1,sy,vu,ct
kuleshov-436,sy,vu,ct
kuleshov-1049,n,vu,n
kuleshov-162,y,sn,p
kuleshov-925,sy,sn,n
kuleshov-288,sy,sn,n
kuleshov-384,n,vu,ct
kuleshov-603,n,sn,ct
kuleshov-572,n,vu,ct
kuleshov-439,sy,n,n
kuleshov-893,y,n,n
kuleshov-558,n,vu,p
kuleshov-704,sy,sn,ct
kuleshov-805,n,vu,ct
kuleshov-1058,y,sn,p
kuleshov-343,y,sn,n
kuleshov-763,sy,sn,ct
kuleshov-683,n,vu,ct
