id,1,2,3
pwws-294,n,vu,n
pwws-281,n,sn,n
pwws-24,n,sn,ct
pwws-52,n,n,p
pwws-580,n,vu,n
pwws-468,n,sn,p
pwws-445,n,sn,p
pwws-1029,n,sn,p
pwws-696,s,n,p
pwws-46,s,n,p
pwws-64,n,vu,n
pwws-536,s,n,p
pwws-86,n,vu,ct
pwws-240,n,vu,ct
pwws-290,n,vu,p
pwws-257,s,vu,n
pwws-912,n,vu,p
pwws-995,n,vu,ct
pwws-566,s,vu,p
pwws-123,s,sn,p
pwws-895,n,vu,n
pwws-1061,n,vu,n
pwws-987,n,vu,n
pwws-247,n,sn,ct
pwws-576,n,vu,p
pwws-877,n,vu,n
pwws-307,s,sn,p
pwws-362,n,vu,ct
pwws-930,y,n,n
pwws-771,n,vu,p
pwws-13,s,vu,ct
pwws-363,n,vu,n
pwws-953,s,sn,p
pwws-266,y,n,p
pwws-531,y,n,n
pwws-583,s,sn,p
pwws-847,n,vu,n
pwws-822,s,sn,ct
pwws-115,s,sn,n
pwws-485,n,vu,n
pwws-713,n,sn,ct
pwws-1,n,vu,ct
pwws-400,s,vu,ct
pwws-629,s,n,ct
pwws-854,y,n,ct
pwws-931,s,n,ct
pwws-545,n,sn,ct
pwws-368,s,sn,p
pwws-596,n,vu,ct
pwws-133,n,vu,ct
pwws-765,n,n,ct
pwws-843,s,sn,ct
pwws-727,n,vu,n
pwws-787,n,sn,n
pwws-324,s,sn,p
pwws-481,n,sn,ct
pwws-488,s,sn,p
pwws-963,s,sn,n
pwws-852,n,vu,ct
pwws-551,n,vu,ct
pwws-712,s,sn,p
pwws-619,n,vu,n
pwws-923,n,vu,n
pwws-918,s,sn,ct
pwws-780,n,vu,ct
pwws-370,n,vu,ct
pwws-401,n,vu,ct
pwws-650,y,n,ct
pwws-763,y,sn,p
pwws-979,s,vu,n
pwws-742,n,vu,ct
pwws-829,n,sn,n
pwws-675,n,n,n
